trajectory,time,wealth,wealth_real,liquidity,alloc_actions,alloc_obligations,alloc_cash,alloc_or,alloc_crypto,alloc_scpi,solver
0,0,200.0,200.0,120.00000000000001,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
0,1,209.99149022051535,205.87401002011308,125.99489413230923,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
0,2,218.96718903913128,210.46442621984937,131.38031342347878,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
0,3,227.32840340982955,214.21663181000287,136.39704204589776,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
0,4,232.68035443812002,214.96068117388532,139.60821266287203,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
0,5,237.54953767881867,215.15593513655855,142.52972260729123,-8.881784197001253e-17,0.42000000000000004,0.18000000000000002,0.16000000000000003,-2.2204460492503132e-17,0.24,DP
0,6,232.52136105910645,206.47231436746935,139.5128166354639,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
0,7,243.38741961599914,211.88339549328379,146.0324517695995,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
0,8,258.3029297305319,220.45906337520495,154.98175783831917,-8.881784197001253e-17,0.42000000000000004,0.18000000000000002,0.16000000000000003,-2.2204460492503132e-17,0.24,DP
0,9,270.508398617823,226.3493270062435,162.30503917069382,-8.881784197001253e-17,0.42000000000000004,0.18000000000000002,0.16000000000000003,-2.2204460492503132e-17,0.24,DP
0,10,274.89461111537105,225.50932687333656,164.93676666922266,-8.881784197001253e-17,0.42000000000000004,0.18000000000000002,0.16000000000000003,-2.2204460492503132e-17,0.24,DP
0,11,278.8585143285771,224.275596210941,167.31510859714626,-8.881784197001253e-17,0.42000000000000004,0.18000000000000002,0.16000000000000003,-2.2204460492503132e-17,0.24,DP
0,12,292.4594778437647,230.60230241398307,175.47568670625887,-8.881784197001253e-17,0.42000000000000004,0.18000000000000002,0.16000000000000003,-2.2204460492503132e-17,0.24,DP
0,13,247.11583672873758,191.02857925368662,148.26950203724257,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
0,14,264.9708118882265,200.81476057496863,0.0,0.07999999999999999,0.0,0.0,0.36000000000000004,0.019999999999999997,0.54,DP
0,15,263.1248691151396,195.5056535788498,0.0,0.23999999999999996,0.0,0.0,0.28,0.05999999999999999,0.42000000000000004,DP
0,16,259.295218981638,188.88251678328987,0.0,0.23999999999999996,0.0,0.0,0.28,0.05999999999999999,0.42000000000000004,DP
0,17,263.1572358210941,187.9370458651819,0.0,0.23999999999999996,0.0,0.0,0.28,0.05999999999999999,0.42000000000000004,DP
0,18,226.98910934372796,158.92855292210803,136.1934656062368,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
0,19,237.32957470680518,162.91032028193513,0.0,0.15999999999999998,0.0,0.0,0.32000000000000006,0.039999999999999994,0.48,DP
0,20,209.70468023282052,141.12523821528012,0.0,0.0,0.0,0.0,0.4,0.0,0.6,DP
0,21,216.7427558785913,143.001628789343,0.0,0.23999999999999996,0.0,0.0,0.28,0.05999999999999999,0.42000000000000004,DP
0,22,216.08591375563157,139.77280415801624,0.0,0.31999999999999995,0.0,0.0,0.24000000000000005,0.07999999999999999,0.36000000000000004,DP
0,23,214.31633484681416,135.90997200237214,0.0,0.48,0.0,0.0,0.16000000000000003,0.12,0.24,DP
0,24,262.36681470299993,163.11908642292423,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
0,25,336.975952849812,205.39724588764219,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
0,26,397.97556717221397,237.82195481124032,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
0,27,376.3413847804435,220.48413291142032,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
0,28,305.2932073669911,175.35264948320446,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
0,29,238.12392258755892,134.09051134290326,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
0,30,227.00115873096777,125.3207315000754,0.0,,,,,,,DP
1,0,200.0,200.0,120.00000000000001,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,1,195.1394580514464,191.31319416808472,117.08367483086786,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,2,213.46663492972908,205.17746533038166,128.07998095783748,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,3,222.3305916719252,209.5070821855142,133.39835500315513,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,4,233.19751958264357,215.43846182715373,139.91851174958617,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,5,248.13958226068365,224.74766479182603,148.88374935641022,-8.881784197001253e-17,0.42000000000000004,0.18000000000000002,0.16000000000000003,-2.2204460492503132e-17,0.24,DP
1,6,229.25208206561913,203.56928818087013,137.55124923937151,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,7,232.82152233327093,202.68514606761565,139.69291339996258,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,8,234.53976035717045,200.1774271260812,140.7238562143023,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,9,245.26962065471506,205.23064664142214,147.16177239282905,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,10,234.79250560461185,192.61163279617116,140.87550336276712,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,11,256.18748718213527,206.04212701877722,153.71249230928117,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,12,264.896140257698,208.8687988311161,132.448070128849,0.0,0.35,0.15,0.2,0.0,0.3,DP
1,13,198.01430445928847,153.07149777813459,118.80858267557309,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,14,209.355755249027,158.66549815705622,125.61345314941622,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,15,228.31529987365042,169.6416308878681,136.98917992419027,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,16,242.418301214556,176.58859668745959,24.2418301214556,0.07999999999999999,0.06999999999999999,0.03,0.32000000000000006,0.019999999999999997,0.48,DP
1,17,241.89010305943452,172.7488558358331,0.0,0.07999999999999999,0.0,0.0,0.36000000000000004,0.019999999999999997,0.54,DP
1,18,264.7716746730411,185.38237024767773,0.0,0.23999999999999996,0.0,0.0,0.28,0.05999999999999999,0.42000000000000004,DP
1,19,274.8991495228304,188.6992320671434,0.0,0.23999999999999996,0.0,0.0,0.28,0.05999999999999999,0.42000000000000004,DP
1,20,274.6084637966603,184.80362396399423,0.0,0.4,0.0,0.0,0.2,0.1,0.3,DP
1,21,317.2290026182568,209.30002430641935,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
1,22,314.89384448853275,203.68563082753673,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
1,23,357.129580632779,226.47583694314662,0.0,0.7200000000000001,0.0,0.0,0.04000000000000001,0.18000000000000002,0.06,DP
1,24,411.16496708098117,255.63009512191363,0.0,0.7200000000000001,0.0,0.0,0.04000000000000001,0.18000000000000002,0.06,DP
1,25,452.92277621248127,276.0704140668786,0.0,0.7200000000000001,0.0,0.0,0.04000000000000001,0.18000000000000002,0.06,DP
1,26,506.84355679260125,302.8792101896504,0.0,0.7200000000000001,0.0,0.0,0.04000000000000001,0.18000000000000002,0.06,DP
1,27,420.8952757098553,246.58656651736646,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
1,28,647.0110258001649,371.62666866191097,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
