Solver,Time (s),Mean Wealth (k€),Std Wealth (k€),Sharpe Ratio,Ruin Rate
DP,7.104814199992688,221.93135272747566,247.4028533573815,0.08864632017199268,0.02
OR-Tools,3.6999990697950125e-06,11.703955286679074,34.61604937536392,-5.439558737404993,0.765
RL,188.30273140000645,181.29954194501937,102.5674113123066,-0.18232358066825538,0.0
