trajectory,time,wealth,wealth_real,liquidity,alloc_actions,alloc_obligations,alloc_cash,alloc_or,alloc_crypto,alloc_scpi,solver
0,0,200.0,200.0,120.00000000000001,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
0,1,210.00469784189121,205.8869586685208,147.00328848932384,0.07999999999999995,0.49,0.21000000000000002,0.08000000000000002,0.019999999999999987,0.12,DP
0,2,214.1166067034327,205.80219790795147,149.88162469240288,0.07999999999999995,0.49,0.21000000000000002,0.08000000000000002,0.019999999999999987,0.12,DP
0,3,233.23716141372626,219.78458644650834,186.589729130981,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,4,235.54529890779165,217.6074470180114,188.4362391262333,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,5,241.1456260026135,218.41302312628915,120.57281300130676,0.07999999999999999,0.35,0.15,0.16000000000000003,0.019999999999999997,0.24,DP
0,6,250.8060181885172,222.70856663147285,200.64481455081375,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,7,222.22793534917298,193.4627910905773,177.78234827933838,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,8,222.58693772760958,189.97580810320773,178.06955018208765,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,9,225.728668176453,188.87965175506898,180.5829345411624,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,10,236.32560557512227,193.86930875051803,189.0604844600978,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,11,233.99002391051073,188.1895277477788,187.19201912840856,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,12,232.6596515462545,183.45054747742782,46.531930309250896,0.15999999999999998,0.13999999999999999,0.06,0.24000000000000005,0.039999999999999994,0.36000000000000004,DP
0,13,163.69981250395477,126.54527941506373,130.9598500031638,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,14,162.67071534010205,123.28407238817445,130.13657227208162,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,15,166.85761112330093,123.97766287530872,133.48608889864073,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,16,156.91055311679145,114.30083554551172,125.52844249343315,0.07999999999999996,0.5599999999999999,0.24,0.04000000000000001,0.01999999999999999,0.06,DP
0,17,149.39712478589496,106.69383346198846,119.51769982871596,-4.4408920985006264e-17,0.5599999999999999,0.24,0.08000000000000002,-1.1102230246251566e-17,0.12,DP
0,18,143.70657494749526,100.61750569368873,114.9652599579962,-4.4408920985006264e-17,0.5599999999999999,0.24,0.08000000000000002,-1.1102230246251566e-17,0.12,DP
0,19,163.05552872275968,111.92633046589863,130.44442297820774,-4.4408920985006264e-17,0.5599999999999999,0.24,0.08000000000000002,-1.1102230246251566e-17,0.12,DP
0,20,183.8938928645887,123.75531823151255,36.77877857291774,0.15999999999999998,0.13999999999999999,0.06,0.24000000000000005,0.039999999999999994,0.36000000000000004,DP
0,21,159.50458191850336,105.2372658142535,31.900916383700668,0.15999999999999998,0.13999999999999999,0.06,0.24000000000000005,0.039999999999999994,0.36000000000000004,DP
0,22,152.51661467388053,98.6537000175022,15.25166146738805,0.15999999999999998,0.06999999999999999,0.03,0.28,0.039999999999999994,0.42000000000000004,DP
0,23,141.25070141008362,89.57496817814429,113.00056112806689,-4.4408920985006264e-17,0.5599999999999999,0.24,0.08000000000000002,-1.1102230246251566e-17,0.12,DP
0,24,144.8266410618001,90.04183477412731,115.86131284944007,-4.4408920985006264e-17,0.5599999999999999,0.24,0.08000000000000002,-1.1102230246251566e-17,0.12,DP
0,25,160.12088329040233,97.59862138175588,0.0,0.7200000000000001,0.0,0.0,0.04000000000000001,0.18000000000000002,0.06,DP
0,26,154.0026307992336,92.02878197519803,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
0,27,94.91402375507394,55.60652395691269,0.0,0.6400000000000001,0.0,0.0,0.08000000000000002,0.16000000000000003,0.12,DP
0,28,87.407773697854,50.20480093722601,0.0,0.7200000000000001,0.0,0.0,0.04000000000000001,0.18000000000000002,0.06,DP
0,29,114.10977645304747,64.25661944228756,0.0,0.8,0.0,0.0,0.0,0.2,0.0,DP
0,30,71.53628224667595,39.49309893424026,0.0,,,,,,,DP
1,0,200.0,200.0,120.00000000000001,0.0799999999999999,0.42000000000000004,0.18000000000000002,0.12000000000000002,0.019999999999999976,0.18000000000000002,DP
1,1,163.47753409235023,160.27209224740218,49.043260227705076,0.15999999999999998,0.21000000000000002,0.09000000000000001,0.2,0.039999999999999994,0.3,DP
1,2,126.85023511822499,121.9244858883362,0.0,0.31999999999999995,0.0,0.0,0.24000000000000005,0.07999999999999999,0.36000000000000004,DP
1,3,130.73372499944193,123.19330894550542,0.0,0.31999999999999995,0.0,0.0,0.24000000000000005,0.07999999999999999,0.36000000000000004,DP
1,4,146.38681652685676,135.23879087891916,14.638681652685674,0.23999999999999996,0.06999999999999999,0.03,0.24000000000000005,0.05999999999999999,0.36000000000000004,DP
1,5,116.77077234506498,105.76288620056046,0.0,0.31999999999999995,0.0,0.0,0.24000000000000005,0.07999999999999999,0.36000000000000004,DP
