Solver,Time (s),Mean Wealth,Sharpe Ratio
DP,4.552804199978709,466.0838433155341,0.7100854153322931
OR-Tools,1.9000144675374031e-06,1482.5595359011443,0.8362541660368046
RL,134.11080960009713,532.844941073829,1.987975494679339
